SOURCE_DRUG	UNIPROT	P_SCORE	DIRECTIONALITY	PUBCHEM_ID	DRUGBANK_ID	DRUGBANK_GROUP	ATCCODES
Cetirizine	HAP1_HUMAN	-32.36905966	Inhibitory	CID2678	DB00341	approved	R06AE07|R06AE09
L-Methionine sulfoximine	GLNA_HUMAN	-10.95958521	Inhibitory	CID89034			
Phenacetin	S22A9_HUMAN	-2.21788	Inhibitory	CID4754	DB03783	withdrawn	N02BE03
Betahistine	HRH3_HUMAN	-0.4310048	Inhibitory	CID2366	DB06698	approved	N07CA01
Propylthiouracil	INS_HUMAN	-14.17370407	Inhibitory	CID657298	DB00550	approved	H03BA02
Tiabendazole	CP1A1_HUMAN	22.75875158	Stimulatory	CID5430	DB00730	approved	
Atovaquone	CHSP1_HUMAN	-4.0905207	Inhibitory	CID74989	DB01117	approved	P01AX06
Tobramycin	SOS1_HUMAN	39.66208889	Stimulatory	CID36294	DB00684	approved|investigational	S01AA12|J01GB01
Tolazamide	IRK1_HUMAN	-11.24324019	Inhibitory	CID5503	DB00839	approved	A10BB05
Cefaclor	S22A6_HUMAN	-0.772245	Inhibitory	CID51039	DB00833	approved	J01DC04
Terconazole	PPIL1_HUMAN	-1.3168712	Inhibitory	CID441383	DB00251	approved	G01AG02
Orciprenaline	ADRB3_HUMAN	5.03851303	Stimulatory	CID4086	DB00816	approved	R03AB03|R03CB03
Trimethadione	FKBP2_HUMAN	-10.61412619	Inhibitory	CID5576	DB00347	approved	N03AC02
Rifampicin	CASPA_HUMAN	26.12333614	Stimulatory	CID5381226	DB01045	approved	J04AB02
Methoxamine	ADA1B_HUMAN	6.40362263	Stimulatory	CID6082	DB00723	approved	C01CA10
Tiaprofenic Acid	PGH1_HUMAN	-13.52420365	Inhibitory	CID5468	DB01600	approved	M01AE11
Lovastatin	TSP1_HUMAN	-27.45436908	Inhibitory	CID53232	DB00227	approved|investigational	C10AA02
Pregnenolone	CP3A5_HUMAN	16.59820183	Stimulatory	CID8955	DB02789	experimental	
Vancomycin	S22A6_HUMAN	-0.772245	Inhibitory	CID14969	DB00512	approved	J01XA01|A07AA09
Nystatin	CD47_HUMAN	12.35273043	Stimulatory	CID5702099			
Tenoxicam	PGH1_HUMAN	-13.52420365	Inhibitory	CID54677971	DB00469	approved	M01AC02
Estropipate	S22A1_HUMAN	-0.7936128	Inhibitory	CID5284555			
Benzethonium Chloride	ELOB_HUMAN	11.32897813	Stimulatory	CID8478			
Fluorometholone	GCR_HUMAN	59.54477788	Stimulatory	CID9878	DB00324	approved	D10AA01|D07AB06|C05AA06|D07XB04|S01BA07|S01CB05
Kinetin	CNIH4_HUMAN	-1.024	Inhibitory	CID3830			
Hexestrol	ST1E1_HUMAN	-15.13398869	Inhibitory	CID3606			
Trioxysalen	LFA3_HUMAN	-33.0409567	Inhibitory	CID5585	DB04571	approved	D05AD01
Cefalotin	IL2_HUMAN	-56.8489803	Inhibitory	CID6024	DB00456	approved	J01DB03
Tetrandrine	MAGT1_HUMAN	-0.37872	Inhibitory	CID73078			
Cefmetazole	ZCH18_HUMAN	-1.024	Inhibitory	CID42008	DB00274	approved	J01DC09
Strophanthidin	MAGT1_HUMAN	0.37872	Stimulatory	CID6185			
Cefuroxime	DCNL1_HUMAN	-5.48056589	Inhibitory	CID2659			
Sulfaquinoxaline	NQO1_HUMAN	-17.08408729	Inhibitory	CID5338			
Nadide	FGF13_HUMAN	-4.44339307	Inhibitory	CID5892			
Terazosin	ICAM1_HUMAN	52.68443559	Stimulatory	CID5401	DB01162	approved	G04CA03
Streptozocin	IGF1_HUMAN	24.3370072	Stimulatory	CID29327	DB00428	approved	L01AD04
Sulfamethizole	CP2CI_HUMAN	-12.2810724	Inhibitory	CID5328	DB00576	approved	B05CA04|S01AB01|J01EB02|D06BA04
Phenazopyridine	SCN2A_HUMAN	-12.91245699	Inhibitory	CID4756	DB01438	approved	G04BX06
Sulfapyridine	CP2CI_HUMAN	-12.2810724	Inhibitory	CID5336	DB00891	approved	J01EB04
Leflunomide	LOX5_HUMAN	-17.35203906	Inhibitory	CID3899	DB01097	approved|investigational	L04AA13
Podophyllotoxin	ACHA4_HUMAN	-7.02537876	Inhibitory	CID10607	DB01179	approved	D06BB04
Metoprolol	BCAP_HUMAN	-0.722	Inhibitory	CID4171	DB00264	approved|investigational	C07AB02|C07AB52
Medrysone	GCR_HUMAN	59.54477788	Stimulatory	CID247839	DB00253	approved	S01BA08
Demeclocycline	NEU2_HUMAN	-6.31087802	Inhibitory	CID54680103			
Levonorgestrel	LIPH_HUMAN	9.41680143	Stimulatory	CID13109	DB00367	approved|investigational	G03AC03|G03AD01
Fenoprofen	PGH2_HUMAN	-25.30124101	Inhibitory	CID3342	DB00573	approved	M01AE04
Bendroflumethiazide	CAH1_HUMAN	-14.01138621	Inhibitory	CID2315	DB00436	approved	C03AA01
Flecainide	ERC6L_HUMAN	0.99856	Stimulatory	CID3356	DB01195	approved|withdrawn	C01BC04
Spiramycin	IL1A_HUMAN	46.64798836	Stimulatory	CID5266			
Ethoxyquin	ARL1_HUMAN	11.09198975	Stimulatory	CID3293			
Sulfadimidine	NR1I2_HUMAN	4.33152	Stimulatory	CID5327	DB01582	approved	J01EB03
Dicoumarol	NFKB1_HUMAN	-58.5283759	Inhibitory	CID54676038	DB00266	approved	B01AA01
Isocarboxazid	AOFA_HUMAN	-9.08177242	Inhibitory	CID3759			
Mephentermine	CP070_HUMAN	2.88021629	Stimulatory	CID3677	DB01365	approved	C01CA11
Cefazolin	ALBU_HUMAN	-67.65546275	Inhibitory	CID33255	DB01327	approved	J01DB04
Glycopyrronium bromide	ACM1_HUMAN	-0.8582496	Inhibitory	CID11693			
Diethylstilbestrol	DRD5_HUMAN	4.65571627	Stimulatory	CID448537	DB00255	approved	G03CB02|G03CC05|L02AA01
Guaifenesin	PEMT_HUMAN	-7.89009145	Inhibitory	CID3516	DB00874	approved	R05CA03
Thiamazole	CP2C9_HUMAN	-18.59477645	Inhibitory	CID1349907	DB00763	approved	H03BB02
Lithocholic Acid	NR1H4_HUMAN	12.43758891	Stimulatory	CID9903			
alpha-Ergocryptine	PRL_HUMAN	-1.18459872	Inhibitory	CID99049			
Atractyloside	BPL1_HUMAN	2.91606597	Stimulatory	CID28733			
Guanadrel	SC6A2_HUMAN	3.2319225	Stimulatory	CID38521	DB00226	approved	
Merbromin	AATM_HUMAN	-9.35320003	Inhibitory	CID441373			
Sulfadimethoxine	CP2CI_HUMAN	-12.2810724	Inhibitory	CID5323	DB06150	approved	J01ED01
Calcium Folinate	H2B1O_HUMAN	0.56108	Stimulatory	CID15150			
Mimosine	NP1L1_HUMAN	40.97454689	Stimulatory	CID3862			
Vidarabine	PPARG_HUMAN	-38.98899339	Inhibitory	CID191			
Proadifen	CCKN_HUMAN	-14.92436226	Inhibitory	CID4910			
Hexylcaine	SCN3A_HUMAN	-1.29066667	Inhibitory	CID10770	DB00473	approved|withdrawn	
Sulfanilamide	HAP1_HUMAN	-36.99321104	Inhibitory	CID5333	DB00259	approved	D06BA05|J01EB06
Corbadrine	PR38B_HUMAN	-0.73728	Inhibitory	CID164739	DB06707	approved	
Ebselen	PPIC_HUMAN	3.22690743	Stimulatory	CID3194			
Pipenzolate bromide [INN:BAN]	MDR1_HUMAN	-15.92327197	Inhibitory	CID31322			
Isopropamide iodide	ACM4_HUMAN	-1.56816	Inhibitory	CID6284			
Cinoxacin	TOP2A_HUMAN	-39.34375037	Inhibitory	CID2762	DB00827	approved|withdrawn	J01MB06
Cicloheximide	NPC1_HUMAN	1.78510413	Stimulatory	CID6197			
Amrinone	PDE3A_HUMAN	-13.33313789	Inhibitory	CID3698	DB01427	approved	C01CE01
Carbinoxamine	ADCY2_HUMAN	-3.38598663	Inhibitory	CID2564	DB00748	approved	R06AA08
Securinine	ACES_HUMAN	-3.12243036	Inhibitory	CID21823			
Gabapentin	ELOC_HUMAN	-13.50029013	Inhibitory	CID3446	DB00996	approved|investigational	N03AX12
Iopamidol	KNG1_HUMAN	-13.41473568	Inhibitory	CID65492			
Methazolamide	SKIV2_HUMAN	-8.92680917	Inhibitory	CID4100	DB00703	approved	S01EC05
Clidinium bromide	PK2L1_HUMAN	-4.75034829	Inhibitory	CID19004			
Alimemazine	DHX8_HUMAN	-7.09587921	Inhibitory	CID5574	DB01246	approved	R06AD01
DL-Thiorphan	AURKA_HUMAN	-25.96399078	Inhibitory	CID3132			
alpha-Yohimbine hydrochloride	DCAM_HUMAN	-2.98321984	Inhibitory	CID197067			
Corynanthine	NALP3_HUMAN	-1.45924	Inhibitory	CID92766			
Salsolinol	PRL_HUMAN	1.18459872	Stimulatory	CID91588			
Mycophenolic acid	ANT3_HUMAN	7.27099964	Stimulatory	CID446541	DB01024	approved	
Harmalol	BID_HUMAN	-20.61938607	Inhibitory	CID5353656			
Cyclopenthiazide	RENI_HUMAN	5.05791216	Stimulatory	CID2904			
Pancuronium bromide	ACHA2_HUMAN	-4.38210375	Inhibitory	CID27350	DB01337	approved	M03AC01
Gibberellic Acid	C1QT1_HUMAN	1.4691889	Stimulatory	CID6466	DB07814	experimental	
sitosterol	CASP9_HUMAN	37.35266747	Stimulatory	CID222284			
Fluvoxamine	SKIV2_HUMAN	-8.92680917	Inhibitory	CID5324346	DB00176	approved|investigational	N06AB08
Letrozole	ERBB2_HUMAN	60.93276494	Stimulatory	CID3902	DB01006	approved|investigational	L02BG04
Molindone	5HT2A_HUMAN	-21.64094097	Inhibitory	CID23897	DB01618	approved	N05AE02
Sotalol	KCNH2_HUMAN	-13.8191394	Inhibitory	CID5253	DB00489	approved	C07AA57|C07AA07
Proscillaridin	HIF1A_HUMAN	-45.77123245	Inhibitory	CID10069			
Moxonidine	PESC_HUMAN	35.59793177	Stimulatory	CID4810			
Oxamniquine	ADCY2_HUMAN	-3.38598663	Inhibitory	CID4612	DB01096	approved	P02BA02
Zardaverine	TNFA_HUMAN	-19.63179288	Inhibitory	CID5723	DB02918	experimental	
Sanguinarine	AMPN_HUMAN	-32.19888281	Inhibitory	CID5154			
Fluticasone	NAPSA_HUMAN	-1.23496107	Inhibitory	CID5311101			
Tocainide	SCN3A_HUMAN	-1.34874667	Inhibitory	CID38945	DB01056	approved	C01BB03
Zalcitabine	MGDP1_HUMAN	-2.888	Inhibitory	CID24066	DB00943	approved	J05AF03
Decamethonium Bromide	ACES_HUMAN	-3.12243036	Inhibitory	CID10921			
Memantine	ADCY2_HUMAN	-3.38598663	Inhibitory	CID4054	DB01043	approved|investigational	N06DX01
Zuclopenthixol	ADA2A_HUMAN	-8.16796564	Inhibitory	CID12454			
Gabexate	PYC_HUMAN	10.5634897	Stimulatory	CID3447			
Alprostadil	SORC3_HUMAN	-1.38867307	Inhibitory	CID5280723	DB00770	approved|investigational	G04BE01|C01EA01
Ozagrel	MK14_HUMAN	-58.41980537	Inhibitory	CID5282440			
Asiaticoside	CO1A2_HUMAN	11.88759292	Stimulatory	CID108062			
Proguanil	ADCY2_HUMAN	-3.38598663	Inhibitory	CID6178111			
Risperidone	HAP1_HUMAN	-36.99321104	Inhibitory	CID5073	DB00734	approved|investigational	N05AX08
Levocabastine	ABCC8_HUMAN	-4.95620119	Inhibitory	CID54385	DB01106	approved	S01GX02|R01AC02
Piribedil	PRL_HUMAN	-1.18459872	Inhibitory	CID4850			
Rimexolone [USAN:BAN:INN]	GCR_HUMAN	59.54477788	Stimulatory	CID39507	DB00896	approved	H02AB12|S01BA13
Torasemide	LEG2_HUMAN	-4.94209	Inhibitory	CID41781	DB00214	approved	C03CA04|C03CA01
Etomidate	C11B1_HUMAN	-6.88013371	Inhibitory	CID36339	DB00292	approved	N01AX07
Moracizine	SCN5A_HUMAN	-11.59383467	Inhibitory	CID34633	DB00680	approved|withdrawn	C01BG01
Netilmicin	6PGD_HUMAN	-38.1233643	Inhibitory	CID41859			
Tridihexethyl	DRD5_HUMAN	-7.34629786	Inhibitory	CID20299	DB00505	withdrawn	A03AB08
Ioxaglic Acid	TPA_HUMAN	-17.9855156	Inhibitory	CID3742			
Lansoprazole	CP1A1_HUMAN	27.31050189	Stimulatory	CID3883	DB00448	approved|investigational	A02BC03
Cyclic adenosine monophosphate	IL6_HUMAN	60.94400105	Stimulatory	CID6076			
Procarbazine	CCNB2_HUMAN	13.02520325	Stimulatory	CID4915	DB01168	approved	L01XB01
Penbutolol	ADRB2_HUMAN	-14.8516408	Inhibitory	CID37464	DB01359	approved|investigational	C07AA23
Naftifine	CAPON_HUMAN	-5.28270645	Inhibitory	CID47641	DB00735	approved	D01AE22
Bethanechol	HPS4_HUMAN	2.06827393	Stimulatory	CID2370	DB01019	approved	N07AB02
Nafcillin	GRAB_HUMAN	15.63957056	Stimulatory	CID8982	DB00607	approved	
Liothyronine	ERG_HUMAN	3.18210509	Stimulatory	CID5920	DB00279	approved	H03AA02
Etidronic Acid	VATA_HUMAN	-2.6896	Inhibitory	CID3305	DB01077	approved	M05BA01|M05BB01
Theophylline	HPRT_HUMAN	-20.77087203	Inhibitory	CID2153	DB00277	approved	R03DA05|R03DA04
Benzthiazide	CHP3_HUMAN	-4.17789937	Inhibitory	CID2343	DB00562	approved	
Procyclidine	VGFR3_HUMAN	-10.83747245	Inhibitory	CID4919	DB00387	approved	N04AA04
Roxithromycin	NAPSA_HUMAN	-1.23496107	Inhibitory	CID5106			
Theobromine	AA2AR_HUMAN	-4.93306614	Inhibitory	CID5429	DB01412	approved	R03DA07|C03BD01
Trichlormethiazide	S12A1_HUMAN	-6.04869138	Inhibitory	CID5560	DB01021	approved	C03AA06
Beclometasone	ICAM1_HUMAN	-52.68443559	Inhibitory	CID20469			
Simvastatin	NOS2_HUMAN	-3.15148191	Inhibitory	CID54454	DB00641	approved	C10AA01
Reserpine	FGF13_HUMAN	-4.44339307	Inhibitory	CID5770	DB00206	approved	C02AA02
Trimipramine	MDR3_HUMAN	-9.98852199	Inhibitory	CID5584	DB00726	approved	
Suprofen	PGH1_HUMAN	-13.52420365	Inhibitory	CID5359	DB00870	approved|withdrawn	M01AE07
Indoprofen	RSMN_HUMAN	27.93919671	Stimulatory	CID3718			
Mestranol	ESR1_HUMAN	120.70017594	Stimulatory	CID6291	DB01357	approved	
Tolmetin	PGH2_HUMAN	-25.30124101	Inhibitory	CID5509	DB00500	approved	M01AB03|M02AA21
Chloropyramine	HRH1_HUMAN	-0.3155072	Inhibitory	CID25295	DB08800	approved	R06AC03|D04AA09
(+/-)-Catechin hydrate	TNFA_HUMAN	-19.63179288	Inhibitory	CID9064			
Propantheline bromide	GAST_HUMAN	6.32061127	Stimulatory	CID9279			
Carbenoxolone	PEPA5_HUMAN	-1.17802755	Inhibitory	CID21913			
Levobunolol	ADRB2_HUMAN	-14.8516408	Inhibitory	CID39468	DB01210	approved	S01ED03
Scopolamine	ACM1_HUMAN	-0.59326504	Inhibitory	CID5184			
Nadolol	BFAR_HUMAN	-1.56816	Inhibitory	CID39147	DB01203	approved	C07AA12
Iodixanol	CO2_HUMAN	7.70867207	Stimulatory	CID3724	DB01249	approved	V08AB09
Doxazosin	ABCA1_HUMAN	30.63775034	Stimulatory	CID3157	DB00590	approved	C02CA04
Paracetamol	TNFA_HUMAN	19.63179288	Stimulatory	CID1983	DB00316	approved	
Diclofenamide	NTRK1_HUMAN	-32.51323188	Inhibitory	CID3038	DB01144	approved	S01EC02
Latamoxef	ELNE_HUMAN	-11.16667264	Inhibitory	CID47499	DB04570	approved	J01DD06
Ganciclovir	CREB1_HUMAN	33.10219014	Stimulatory	CID3454	DB01004	approved|investigational	J05AB14|S01AD09|J05AB06
Fluvastatin	PAI1_HUMAN	-24.02126379	Inhibitory	CID446155	DB01095	approved	C10AA04
Capsaicin	NK1R_HUMAN	3.8340864	Stimulatory	CID1548943			
Aminophylline	CDK7_HUMAN	-41.45145652	Inhibitory	CID9433	DB01223	approved	
Profenamine	DRD5_HUMAN	-7.34629786	Inhibitory	CID3290	DB00392	approved	N04AA05
Luteolin	VEGFA_HUMAN	-21.56951889	Inhibitory	CID5280445			
Carbachol	PA1_HUMAN	0.722	Stimulatory	CID5831	DB00411	approved	N07AB01|S01EB02
Nicotinic Acid	T23O_HUMAN	3.80659232	Stimulatory	CID938	DB00627	approved|investigational|nutraceutical	
Hymecromone	CASP8_HUMAN	67.53080088	Stimulatory	CID5280567	DB07118	experimental	
(+)-Isoprenaline	T23O_HUMAN	3.80659232	Stimulatory	CID3779	DB01064	approved	C01CA02|D08AX05
Nizatidine	PEPA5_HUMAN	-1.17802755	Inhibitory	CID3033637	DB00585	approved	A02BA04
Propofol	BAX_HUMAN	15.49398534	Stimulatory	CID4943	DB00818	approved|investigational	N01AX10
Pentetic acid	CASP3_HUMAN	101.27391831	Stimulatory	CID3053			
Esculin	MACF1_HUMAN	-8.70737818	Inhibitory	CID5281417			
Caffeic Acid	FAS_HUMAN	-11.55936771	Inhibitory	CID689043	DB01880	experimental	
Monobenzone	S10AE_HUMAN	-0.79106509	Inhibitory	CID7638	DB00600	approved	D11AX13
Thioperamide	IL6_HUMAN	-60.94400105	Inhibitory	CID3035905			
Eticlopride	JUN_HUMAN	144.87144945	Stimulatory	CID57267			
Bretylium Tosilate	PDE8A_HUMAN	-11.40594005	Inhibitory	CID6100			
Propranolol	SMS_HUMAN	-6.186288	Inhibitory	CID4946	DB00571	approved|investigational	C07AA05
Felbinac	PGH2_HUMAN	-25.30124101	Inhibitory	CID3332	DB07477	experimental	
Xamoterol	PESC_HUMAN	-35.59793177	Inhibitory	CID155774			
Primidone	CP3A4_HUMAN	7.52023445	Stimulatory	CID4909	DB00794	approved	R01AX07|S01AX08|D08AC04|S03AA05|R02AA18|N03AA03
Meglumine	DYRK3_HUMAN	-3.27603611	Inhibitory	CID4049			
Metyrapone	CP3A4_HUMAN	0.75202345	Stimulatory	CID4174	DB01011	approved	V04CD01
Estrone	ORC4_HUMAN	-14.44829848	Inhibitory	CID5870	DB00655	approved	G03CA07|G03CC04
Rolipram	PDE4D_HUMAN	-12.12963282	Inhibitory	CID5092			
Flucytosine	CAC1C_HUMAN	-9.51575398	Inhibitory	CID3366	DB01099	approved	D01AE21|J02AX01
Tyloxapol	IL8_HUMAN	-52.42526697	Inhibitory	CID71388			
Cantharidin	STAR_HUMAN	-7.26191309	Inhibitory	CID2545			
Aminohippuric Acid	ORC4_HUMAN	-14.44829848	Inhibitory	CID2148	DB00345	approved	V04CH30
Urapidil	RENI_HUMAN	5.05791216	Stimulatory	CID5639			
Lorglumide	CCKN_HUMAN	-14.92436226	Inhibitory	CID3960			
Terguride	PRL_HUMAN	-1.18459872	Inhibitory	CID37816			
Florfenicol	IL6_HUMAN	-60.94400105	Inhibitory	CID114811			
Clioquinol	RGS8_HUMAN	-5.08128814	Inhibitory	CID2788	DB04815	withdrawn	D09AA10|P01AA02|G01AC02|D08AH30|S02AA05
Fluspirilene	CCG1_HUMAN	-4.59820167	Inhibitory	CID3396	DB04842	approved	N05AG01
Idazoxan	CLIP1_HUMAN	5.39400373	Stimulatory	CID54459			
Megestrol	ASAP1_HUMAN	8.71563327	Stimulatory	CID19090			
Flurbiprofen	NQO1_HUMAN	14.94857638	Stimulatory	CID3394	DB00712	approved|investigational	M02AA19|S01BC04|M01AE09
Prasterone	CP1B1_HUMAN	-24.16219593	Inhibitory	CID5881	DB01708	nutraceutical	A14AA07
Desoxycortone	RENI_HUMAN	-5.05791216	Inhibitory	CID6166			
Promethazine	MDR3_HUMAN	-9.98852199	Inhibitory	CID4927	DB01069	approved	R06AD05|D04AA10|R06AD02
Nimodipine	FOS_HUMAN	-36.11064078	Inhibitory	CID4497	DB00393	approved	C08CA06
Nilutamide	CP2C9_HUMAN	-18.59477645	Inhibitory	CID4493	DB00665	approved	L02BB02
Ursodeoxycholic acid	ATTY_HUMAN	16.71742695	Stimulatory	CID31401	DB01586	approved|investigational	A05AA02
Chrysin	IL6RB_HUMAN	-35.92789258	Inhibitory	CID5281607			
Nabumetone	PGH2_HUMAN	-25.30124101	Inhibitory	CID4409	DB00461	approved	M01AX01
Ketorolac	PGH2_HUMAN	-2.5301241	Inhibitory	CID3826	DB00465	approved	M01AB15|S01BC05
Octopamine	INS_HUMAN	-14.17370407	Inhibitory	CID4581			
Proxymetacaine	SCNAA_HUMAN	-5.907845	Inhibitory	CID4935	DB00807	approved	S01HA04
Proxyphylline	AL7A1_HUMAN	-1.0738729	Inhibitory	CID4977			
Atropine methonitrate	INS_HUMAN	-14.17370407	Inhibitory	CID5860			
Nisoxetine	GPI8_HUMAN	-9.74333742	Inhibitory	CID4500			
Protriptyline	MDR1_HUMAN	-15.92327197	Inhibitory	CID4976	DB00344	approved	N06AA11
Esculetin	TR10B_HUMAN	22.94548464	Stimulatory	CID5281416			
Nipecotic acid	5NTD_HUMAN	-13.05612072	Inhibitory	CID4498			
Aminocaproic Acid	VATG1_HUMAN	-8.09361741	Inhibitory	CID564	DB00513	approved|investigational	B02AA01
Denatonium Benzoate	INS_HUMAN	14.17370407	Stimulatory	CID19518			
Remoxipride	DRD4_HUMAN	-15.29844932	Inhibitory	CID54477	DB00409	approved|withdrawn	N05AL04
Gliquidone	AKAP4_HUMAN	-3.794704	Inhibitory	CID91610	DB01251	approved	A10BB08
Flucloxacillin	SKIV2_HUMAN	8.92680917	Stimulatory	CID21319	DB00301	approved	J01CF05
Isradipine	RGDSR_HUMAN	-0.6563844	Inhibitory	CID3784	DB00270	approved	C08CA03
Halofantrine	KCNH2_HUMAN	-13.8191394	Inhibitory	CID37393	DB01218	approved	P01BX01
Scopoletin	VEGFA_HUMAN	-21.56951889	Inhibitory	CID5280460			
Rilmenidine	BFAR_HUMAN	1.56816	Stimulatory	CID68712			
Pizotifen	S12A2_HUMAN	-6.42978	Inhibitory	CID27400			
Alfaxalone	EAA3_HUMAN	8.01522045	Stimulatory	CID104845			
Trapidil	ASM3A_HUMAN	-2.421136	Inhibitory	CID5531			
Tiletamine	BAMBI_HUMAN	-2.38777355	Inhibitory	CID26533			
Enilconazole	PVRL1_HUMAN	3.76394667	Stimulatory	CID37175			
Ribavirin	THIK_HUMAN	9.3313321	Stimulatory	CID37542	DB00811	approved	J05AB04
Isometheptene	VMAT2_HUMAN	-7.44962436	Inhibitory	CID22297	DB06706	approved	A03AX10
Clofilium tosylate	KCNH2_HUMAN	-13.8191394	Inhibitory	CID175533			
Quinidine	PRL_HUMAN	-1.18459872	Inhibitory	CID441074	DB00908	approved	C01BA01
Lidoflazine	KCNH2_HUMAN	-13.8191394	Inhibitory	CID3926			
Mitoxantrone	FOSB_HUMAN	8.450208	Stimulatory	CID4212	DB01204	approved|investigational	
Hydrocortisone	CP3A4_HUMAN	-7.52023445	Inhibitory	CID5754	DB00741	approved	D07AA02|A07EA02|D07AB11|A01AC03|D07AB02|D07AC16|S01CB03|C05AA01|H02AB09|S01BA02|D07XA01|S02BA01
Doxorubicin	MCM10_HUMAN	18.43939052	Stimulatory	CID31703	DB00997	approved|investigational	L01DB01
Methoxsalen	AK1BA_HUMAN	-0.81332743	Inhibitory	CID4114	DB00553	approved	D05BA02|D05AD02
Azacitidine	ARPC3_HUMAN	17.99367734	Stimulatory	CID9444	DB00928	approved|investigational	
Fluocinonide	SMOX_HUMAN	0.73283233	Stimulatory	CID9642	DB01047	approved|investigational	D07AC08|C05AA11
Piperacillin	S22A6_HUMAN	-0.772245	Inhibitory	CID43672	DB00319	approved	J01CA12
Cefamandole	S22A6_HUMAN	-0.772245	Inhibitory	CID456255	DB01326	approved	
Levomepromazine	ZNF32_HUMAN	-0.78408	Inhibitory	CID72287	DB01403	approved	
Dienestrol	ESR1_HUMAN	120.70017594	Stimulatory	CID667476	DB00890	approved	G03CB01|G03CC02
Methacholine Chloride	VGFR3_HUMAN	7.49140283	Stimulatory	CID6114			
Cromoglicic acid	MAGT1_HUMAN	-0.37872	Inhibitory	CID2882	DB01003	approved	D11AH03|A07EB01|R01AC01|R03BC01|S01GX01
Ifosfamide	SKIV2_HUMAN	0.89268092	Stimulatory	CID3690	DB01181	approved	L01AA06
Mecamylamine	NALP3_HUMAN	-1.45924	Inhibitory	CID4032	DB00657	approved	C02BB01
Prednicarbate [USAN:INN]	GCR_HUMAN	59.54477788	Stimulatory	CID52421	DB01130	approved	V01AA03|V01AA07|D07AC18
Cyproterone	ANDR_HUMAN	-98.44767141	Inhibitory	CID5284537	DB04839	approved|investigational	G03HA01
Sulfadoxine	AOFB_HUMAN	-0.7952072	Inhibitory	CID17134	DB01299	approved	
Saquinavir	GRAB_HUMAN	-18.3764954	Inhibitory	CID60787	DB01232	approved|investigational	J05AE01
Sertaconazole	CP51A_HUMAN	-6.74134716	Inhibitory	CID65863	DB01153	approved	D01AC14
Milrinone	PS1C1_HUMAN	-2.4839136	Inhibitory	CID4197	DB00235	approved	C01CE02
Dexpropranolol	LCAT_HUMAN	-8.36684969	Inhibitory	CID21138	DB03322	experimental	
Cyclopentolate	DRD5_HUMAN	-7.34629786	Inhibitory	CID2905	DB00979	approved	S01FA04
Repaglinide	SKIV2_HUMAN	-8.92680917	Inhibitory	CID65981	DB00912	approved|investigational	A10BX02
Trifluridine	S22A6_HUMAN	-0.772245	Inhibitory	CID6256	DB00432	approved	S01AD02
Methanthelinium bromide	HRH2_HUMAN	-1.5169032	Inhibitory	CID5883			
Ciprofibrate	GAST_HUMAN	6.32061127	Stimulatory	CID2763			
Cycloserine	JUN_HUMAN	144.87144945	Stimulatory	CID6234	DB00260	approved	J04AB01
Estriol	CP1A1_HUMAN	-22.75875158	Inhibitory	CID5756	DB04573	approved	G03CA04|G03CC06
Piretanide	PARP1_HUMAN	-29.73840818	Inhibitory	CID4849	DB02925	experimental	C03CA03
Oxprenolol	ADRB2_HUMAN	-14.8516408	Inhibitory	CID4631	DB01580	approved	C07AA02
(-)-Isoprenaline	HMOX1_HUMAN	8.0209936	Stimulatory	CID443372			
Ramipril	GTR1_HUMAN	-16.11662148	Inhibitory	CID5362129	DB00178	approved	C09AA05
Ondansetron	CCKN_HUMAN	-14.92436226	Inhibitory	CID4595	DB00904	approved	A04AA01
Thiethylperazine	DRD2_HUMAN	-18.29197894	Inhibitory	CID5440	DB00372	withdrawn	R06AD03
Benzylpenicillin	PAHO_HUMAN	-3.44195514	Inhibitory	CID5904	DB01053	approved	S01AA14|J01CE01
Kaempferol	LIX1L_HUMAN	1.99661443	Stimulatory	CID5280863	DB01852	experimental	
Mephenytoin	SC61G_HUMAN	-0.45	Inhibitory	CID4060	DB00532	investigational|withdrawn	
Cefepime	AGTR1_HUMAN	-7.39739648	Inhibitory	CID5479537	DB01413	approved	J01DE01
Oxyphenbutazone	S22A6_HUMAN	-0.772245	Inhibitory	CID4641	DB03585	experimental|withdrawn	S01BC02|M01AA03|M02AA04
Chlorambucil	CASP3_HUMAN	101.27391831	Stimulatory	CID2708	DB00291	approved	L01AA02
Levcycloserine	SPYA_HUMAN	-4.43245538	Inhibitory	CID401			
Quinethazone	S12A3_HUMAN	-5.21343027	Inhibitory	CID6307	DB01325	approved	C03BA02
Ciclacillin	ADSV_HUMAN	-0.89472774	Inhibitory	CID19003	DB01000	approved	
Spiradoline	NEU2_HUMAN	-6.31087802	Inhibitory	CID55652			
Withaferin A	ICAM1_HUMAN	-52.68443559	Inhibitory	CID265237			
Citalopram	ADCY2_HUMAN	-3.38598663	Inhibitory	CID2771	DB00215	approved	N06AB10|N06AB04
Paroxetine	NCBP2_HUMAN	10.20180802	Stimulatory	CID43815	DB00715	approved|investigational	N06AB05
Rifabutin	IL2_HUMAN	-56.8489803	Inhibitory	CID6323490	DB00615	approved	J04AB04
Phenoxybenzamine	AMD_HUMAN	-3.71200256	Inhibitory	CID4768	DB00925	approved	C04AX02
